# Training PerovskitesMODNet_n_2n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9                918         0.00041426         0.02750847         0.02321463          0.0185371         0.02323905         0.16585668         0.21544241         0.34573519 
              0.85                867         0.00047255         0.01286258         0.01487955         0.01185113          0.0183947         0.11341315         0.63030641         0.34573519 
               0.8                815          0.0004467          0.0092986         0.01121451         0.00836744         0.01574807         0.09642927         0.73274036         0.34573519 
              0.75                764         0.00045076         0.01532941         0.01835569         0.01476579         0.02109443         0.12381189          0.5594012         0.34573519 
               0.7                713         0.00048488         0.00863261         0.00859132         0.00637477         0.01402713         0.09291183         0.75187887         0.34573519 
              0.65                662         0.00050655         0.02017614         0.01897579         0.01794593         0.02601602         0.14204278         0.42009655         0.34573519 
               0.6                611         0.00043323         0.00886804         0.00893657         0.00690187         0.01415231         0.09417025         0.74513288         0.34573519 
              0.55                560         0.00048145         0.01228179         0.01866115         0.01407052         0.01939611         0.11082308         0.64699298         0.34573519 
               0.5                509         0.00047283         0.01051303         0.01199641          0.0091552         0.01526417          0.1025331          0.6978719         0.34573519 
              0.45                458         0.00053838         0.00872242         0.01118517         0.00786908         0.01527862         0.09339388         0.74929997         0.34573519 
               0.4                407         0.00048461         0.00904687         0.01114159         0.00801747         0.01660109         0.09511521         0.73997646         0.34573519 
              0.35                356         0.00044591         0.00931362         0.01128923         0.00806235         0.01556667          0.0965064         0.73233063         0.34573519 
               0.3                305         0.00052117         0.00931968          0.0124821         0.00892667          0.0155039         0.09653643         0.73214299         0.34573519 
              0.25                254         0.00050306         0.01530149         0.01642079         0.01407371         0.01909084         0.12369904         0.56019483         0.34573519 
               0.2                203         0.00053856         0.00847918         0.00920483         0.00632777         0.01464303         0.09208238         0.75629535         0.34573519 
              0.15                152         0.00080382          0.0124102         0.01378985         0.01086235         0.01843557         0.11139986         0.64333434         0.34573519 
               0.1                101         0.00053753          0.0090637         0.01099413         0.00795459         0.01507402         0.09520389         0.73948736         0.34573519 
              0.05                 50          0.0006713         0.01036127         0.01180091         0.00869537         0.01732789         0.10179031          0.7021955         0.34573519 
