# Training PerovskitesMODNet_2n_3n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9                918         0.00040077         0.00593517         0.01270505         0.00904472         0.01436128         0.07702482         0.82948248         0.34573519 
              0.85                867         0.00051596         0.00805926         0.00710632         0.00494928         0.01266285         0.08977335         0.76835792         0.34573519 
               0.8                815          0.0006948         0.00839344         0.00820321         0.00614268         0.01387558         0.09161567         0.75874972         0.34573519 
              0.75                764         0.00034344         0.00428206         0.00995244         0.00726609         0.01488414         0.06543733         0.87698699         0.34573519 
               0.7                713         0.00052665         0.01090473         0.01095047         0.00886531         0.01599331         0.10442569         0.68666974         0.34573519 
              0.65                662         0.00035787         0.05326269         0.02844487         0.02638952         0.03652167         0.23078532        -0.53087727         0.34573519 
               0.6                611         0.00039478         0.00454562         0.00688365         0.00470791         0.01266754         0.06742114         0.86942698         0.34573519 
              0.55                560         0.00059421         0.00797067         0.01517351          0.0124535         0.01669925         0.08927851         0.77090597         0.34573519 
               0.5                509         0.00033397          0.0081473         0.01233263         0.00997836          0.0178502         0.09026228         0.77571281         0.34573519 
              0.45                458           0.000425         0.01042098         0.01226191         0.00945134         0.01657508         0.10208243         0.70051577         0.34573519 
               0.4                407         0.00042497         0.01139019          0.0143103         0.01079466         0.01767377         0.10672511         0.67272468         0.34573519 
              0.35                356          0.0003895         0.00722771         0.01386951         0.01032483         0.01776499         0.08501557         0.79230974         0.34573519 
               0.3                305          0.0003424         0.01721292         0.02367197         0.01805296         0.02285525         0.13119517         0.50536455         0.34573519 
              0.25                254         0.00046951          0.0045163         0.00860936         0.00603298         0.01342506         0.06720385         0.87020014         0.34573519 
               0.2                203         0.00038407         0.01018964         0.02094526         0.01651372         0.02007107         0.10094508          0.7078813         0.34573519 
              0.15                152         0.00042148          0.0127176         0.01976169          0.0148253         0.02071717         0.11277247         0.63451985         0.34573519 
               0.1                101          0.0005273         0.03494507         0.02457434         0.02211592         0.02877346         0.18694411        -0.00425751         0.34573519 
              0.05                 50         0.00064849         0.01698603         0.02757806         0.02155867         0.02420976         0.13032117         0.51433439         0.34573519 
